Using device: cuda
Loading data...
Loading existing split...
Data scaled: mean=0.9978, std=7.0090
Epoch 226: Loss 0.0009, Acc 99.67%
Epoch 227: Loss 0.0004, Acc 99.67%
Epoch 228: Loss 0.0014, Acc 99.69%
Epoch 229: Loss 0.0015, Acc 99.66%
Epoch 230: Loss 0.0019, Acc 99.59%
Epoch 231: Loss 0.0026, Acc 99.70%
Epoch 232: Loss 0.0033, Acc 99.72%
Epoch 233: Loss 0.0034, Acc 99.66%
Epoch 234: Loss 0.0041, Acc 99.62%
Epoch 235: Loss 0.0048, Acc 99.59%
Epoch 236: Loss 0.0041, Acc 99.67%
Epoch 237: Loss 0.0065, Acc 99.57%
Epoch 238: Loss 0.0050, Acc 99.65%
Epoch 239: Loss 0.0050, Acc 99.55%
Epoch 240: Loss 0.0067, Acc 99.60%
Epoch 241: Loss 0.0057, Acc 99.63%
Epoch 242: Loss 0.0062, Acc 99.65%
Epoch 243: Loss 0.0055, Acc 99.67%
Epoch 244: Loss 0.0048, Acc 99.53%
Epoch 245: Loss 0.0042, Acc 99.66%
Epoch 246: Loss 0.0042, Acc 99.59%
Epoch 247: Loss 0.0047, Acc 99.50%
Epoch 248: Loss 0.0038, Acc 99.69%
Epoch 249: Loss 0.0021, Acc 99.53%
Epoch 250: Loss 0.0032, Acc 99.67%
Epoch 251: Loss 0.0024, Acc 99.69%
Epoch 252: Loss 0.0013, Acc 99.70%
Epoch 253: Loss 0.0013, Acc 99.67%
Epoch 254: Loss 0.0011, Acc 99.68%
Epoch 255: Loss 0.0006, Acc 99.67%
Epoch 256: Loss 0.0006, Acc 99.70%
Epoch 257: Loss 0.0004, Acc 99.70%
Epoch 258: Loss 0.0003, Acc 99.71%
Epoch 259: Loss 0.0003, Acc 99.70%
Epoch 260: Loss 0.0002, Acc 99.70%
Epoch 261: Loss 0.0002, Acc 99.70%
Epoch 262: Loss 0.0002, Acc 99.70%
Epoch 263: Loss 0.0002, Acc 99.70%
Epoch 264: Loss 0.0003, Acc 99.70%
Epoch 265: Loss 0.0004, Acc 99.70%
Epoch 266: Loss 0.0006, Acc 99.70%
Epoch 267: Loss 0.0007, Acc 99.68%
Epoch 268: Loss 0.0012, Acc 99.68%
Epoch 269: Loss 0.0012, Acc 99.64%
Epoch 270: Loss 0.0022, Acc 99.67%
Epoch 271: Loss 0.0023, Acc 99.68%
Epoch 272: Loss 0.0018, Acc 99.68%
Epoch 273: Loss 0.0026, Acc 99.67%
Epoch 274: Loss 0.0030, Acc 99.65%
Epoch 275: Loss 0.0047, Acc 99.22%
Epoch 276: Loss 0.0035, Acc 99.64%
Epoch 277: Loss 0.0052, Acc 99.68%
Epoch 278: Loss 0.0043, Acc 99.65%
Epoch 279: Loss 0.0056, Acc 99.56%
Epoch 280: Loss 0.0055, Acc 99.63%
Epoch 281: Loss 0.0058, Acc 99.63%
Epoch 282: Loss 0.0044, Acc 99.66%
Epoch 283: Loss 0.0046, Acc 99.61%
Epoch 284: Loss 0.0046, Acc 99.54%
Epoch 285: Loss 0.0038, Acc 99.61%
Epoch 286: Loss 0.0037, Acc 99.65%
Epoch 287: Loss 0.0037, Acc 99.60%
Epoch 288: Loss 0.0034, Acc 99.52%
Epoch 289: Loss 0.0024, Acc 99.65%
Epoch 290: Loss 0.0023, Acc 99.61%
Epoch 291: Loss 0.0017, Acc 99.66%
Epoch 292: Loss 0.0012, Acc 99.66%
Epoch 293: Loss 0.0013, Acc 99.68%
Epoch 294: Loss 0.0007, Acc 99.67%
Epoch 295: Loss 0.0006, Acc 99.65%
Epoch 296: Loss 0.0005, Acc 99.71%
Epoch 297: Loss 0.0003, Acc 99.70%
Epoch 298: Loss 0.0003, Acc 99.72%
Epoch 299: Loss 0.0002, Acc 99.71%
Epoch 300: Loss 0.0002, Acc 99.71%

--- Equilibrium Classification Performance ---
Training Classification -> Accuracy: 0.9999, F1 Score: 0.9999, ROC AUC: 1.0000
Validation Classification -> Accuracy: 0.9971, F1 Score: 0.9967, ROC AUC: 0.9994

Graphs saved to class_results.png
